Dataset Name,Friendly Name,Category,Data Type,API Path,Field Path,Field Type,Example,Unit,Description,Notes,Tags
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.activities[].name,str,Static Off Bottom,,Display name of the component or record,,"operations, activity, rig-state, metadata, display"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.activities[].night,int,33264,,Duration during night shift (seconds),,"operations, activity, rig-state, operations, time, shift"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.end_timestamp,int,1644580800,,End timestamp of the interval/run (Unix epoch),,"operations, activity, rig-state, time, interval, range"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,data.start_timestamp,int,1644494400,,Start timestamp of the interval/run (Unix epoch),,"operations, activity, rig-state, time, interval, range"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,version,int,1,,Schema version number for this record,,"operations, activity, rig-state, metadata, internal, versioning"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,asset_id,int,123456,,Unique identifier for the well/asset this record belongs to,,"operations, activity, rig-state, metadata, well-id, filter-key, required"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,provider,str,corva,,"Data provider name (typically ""corva"")",,"operations, activity, rig-state, metadata, internal"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,timestamp,int,1644580800,,Unix epoch timestamp (seconds) of the record,,"operations, activity, rig-state, metadata, time-index, filter-key, required"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,collection,str,activities.summary-3m,,MongoDB collection name this record belongs to,,"operations, activity, rig-state, metadata, internal"
corva#activities.summary-3m,activities.summary-3m,Activities / Operations,time,/api/v1/data/corva/activities.summary-3m/,company_id,int,3,,Unique identifier for the company/operator,,"operations, activity, rig-state, metadata, company, filter-key"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,_id,str,5f75f3d53d168654756ba8ef,,MongoDB document unique identifier,,"operations, activity, rig-state, metadata, internal, primary-key"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,data,object,,,Container object for all measurement/computed data fields,,"operations, activity, rig-state, metadata, container"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,data.activities,array[dict],,,Array of activities records,,"operations, activity, rig-state, container, array"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,data.activities[].day,int,42169,,Duration during day shift (seconds),,"operations, activity, rig-state, operations, time, shift"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,data.activities[].name,str,In Slips,,Display name of the component or record,,"operations, activity, rig-state, metadata, display"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,data.activities[].night,int,43200,,Duration during night shift (seconds),,"operations, activity, rig-state, operations, time, shift"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,data.end_timestamp,int,1545155400,,End timestamp of the interval/run (Unix epoch),,"operations, activity, rig-state, time, interval, range"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,data.start_timestamp,int,1545069000,,Start timestamp of the interval/run (Unix epoch),,"operations, activity, rig-state, time, interval, range"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,version,int,1,,Schema version number for this record,,"operations, activity, rig-state, metadata, internal, versioning"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,asset_id,int,31659357,,Unique identifier for the well/asset this record belongs to,,"operations, activity, rig-state, metadata, well-id, filter-key, required"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,provider,str,corva,,"Data provider name (typically ""corva"")",,"operations, activity, rig-state, metadata, internal"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,timestamp,int,1545155400,,Unix epoch timestamp (seconds) of the record,,"operations, activity, rig-state, metadata, time-index, filter-key, required"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,collection,str,activities.summary-continuous,,MongoDB collection name this record belongs to,,"operations, activity, rig-state, metadata, internal"
corva#activities.summary-continuous,activities.summary-continuous,Activities / Operations,time,/api/v1/data/corva/activities.summary-continuous/,company_id,int,5,,Unique identifier for the company/operator,,"operations, activity, rig-state, metadata, company, filter-key"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,_id,str,5f75f8de98fd15520124e1c3,,MongoDB document unique identifier,,"operations, activity, rig-state, metadata, internal, primary-key"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data,object,,,Container object for all measurement/computed data fields,,"operations, activity, rig-state, metadata, container"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data.activity,int,1,,Activity code number,,"operations, activity, rig-state, operations, activity, classification"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data.end_time,int,1545262752,,End time of the activity/operation (Unix epoch),,"operations, activity, rig-state, operations, time, interval"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data.start_time,int,1545249823,,Start time of the activity/operation (Unix epoch),,"operations, activity, rig-state, operations, time, interval"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data.activity_name,str,Tripping in,,"Name of the rig activity (e.g., Drilling, Tripping)",,"operations, activity, rig-state, operations, activity, classification"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data.end_bit_depth,float,6472.6,,Bit depth at end of operation (ft),,"operations, activity, rig-state, operations, depth, interval"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data.end_hole_depth,int,7065,,Hole depth at end of operation (ft),,"operations, activity, rig-state, operations, depth, interval"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data.operation_time,int,12929,,Duration of the operation (seconds),,"operations, activity, rig-state, operations, time, duration"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data.start_bit_depth,int,1240,,Bit depth at start of operation (ft),,"operations, activity, rig-state, operations, depth, interval"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data.bit_depth_change,null,,,Change in bit depth during operation (ft),,"operations, activity, rig-state, operations, depth, calculated"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data.start_hole_depth,int,7065,,Hole depth at start of operation (ft),,"operations, activity, rig-state, operations, depth, interval"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,data.hole_depth_change,null,,,Change in hole depth during operation (ft),,"operations, activity, rig-state, operations, depth, calculated"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,version,int,1,,Schema version number for this record,,"operations, activity, rig-state, metadata, internal, versioning"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,asset_id,int,31659357,,Unique identifier for the well/asset this record belongs to,,"operations, activity, rig-state, metadata, well-id, filter-key, required"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,provider,str,corva,,"Data provider name (typically ""corva"")",,"operations, activity, rig-state, metadata, internal"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,timestamp,int,1545262752,,Unix epoch timestamp (seconds) of the record,,"operations, activity, rig-state, metadata, time-index, filter-key, required"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,collection,str,activity-groups,,MongoDB collection name this record belongs to,,"operations, activity, rig-state, metadata, internal"
corva#activity-groups,activity-groups,Activities / Operations,time,/api/v1/data/corva/activity-groups/,company_id,int,5,,Unique identifier for the company/operator,,"operations, activity, rig-state, metadata, company, filter-key"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,_id,str,67940b3ab08f74f18468f016,,MongoDB document unique identifier,,"anti-collision, directional, safety, metadata, internal, primary-key"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,data,object,,,Container object for all measurement/computed data fields,,"anti-collision, directional, safety, metadata, container"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,data.wells,array[dict],,,Array of wells records,,"anti-collision, directional, safety, container, array"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,data.wells[].api_number,int,4246142919,,API well number (unique well identifier),,"anti-collision, directional, safety, well-info, identifier, regulatory"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,data.wells[].latitude_deg,float,31.49318565189394,,Well latitude in decimal degrees,,"anti-collision, directional, safety, well-info, coordinate, location"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,data.wells[].longitude_deg,float,-102.0585495249621,,Well longitude in decimal degrees,,"anti-collision, directional, safety, well-info, coordinate, location"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,data.wells[].well_common_name,str,EAGLE PASS C5 5411BH,,Common/display name of the well,,"anti-collision, directional, safety, well-info, identifier, display"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,data.file_hash,str,f5f7dad8a8820bd1b930dfb275810518,,Hash of the uploaded file for deduplication,,"anti-collision, directional, safety, metadata, file, internal"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,data.file_link,str,anti-collision-edm/80/67940b267ae07be936140798/EAGLE_PASS_PROJECT_01092025replac,,Storage path/URL of the uploaded file,,"anti-collision, directional, safety, metadata, file, storage"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,data.file_name,str,EAGLE_PASS_PROJECT_01092025replaced.edm.xml,,Original filename of the uploaded file,,"anti-collision, directional, safety, metadata, file"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,data.export_level,str,Site,,"Export/scope level (Site, Well, etc.)",,"anti-collision, directional, safety, metadata, scope"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,data.last_updated_at,int,1736446771,,Timestamp of last update,,"anti-collision, directional, safety, metadata, time, audit"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,version,int,1,,Schema version number for this record,,"anti-collision, directional, safety, metadata, internal, versioning"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,provider,str,corva,,"Data provider name (typically ""corva"")",,"anti-collision, directional, safety, metadata, internal"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,timestamp,int,1737755450,,Unix epoch timestamp (seconds) of the record,,"anti-collision, directional, safety, metadata, time-index, filter-key, required"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,collection,str,anti-collision.metadata-edm,,MongoDB collection name this record belongs to,,"anti-collision, directional, safety, metadata, internal"
corva#anti-collision.metadata-edm,anti-collision.metadata-edm,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-edm/,company_id,int,80,,Unique identifier for the company/operator,,"anti-collision, directional, safety, metadata, company, filter-key"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,_id,str,67940b3ac8732cabc46592a2,,MongoDB document unique identifier,,"anti-collision, directional, safety, metadata, internal, primary-key"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,data,object,,,Container object for all measurement/computed data fields,,"anti-collision, directional, safety, metadata, container"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,data.files,array[dict],,,Array of files records,,"anti-collision, directional, safety, container, array"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,data.files[].file_hash,str,f5f7dad8a8820bd1b930dfb275810518,,Hash of the uploaded file for deduplication,,"anti-collision, directional, safety, metadata, file, internal"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,data.files[].file_link,str,anti-collision-edm/80/67940b267ae07be936140798/EAGLE_PASS_PROJECT_01092025replac,,Storage path/URL of the uploaded file,,"anti-collision, directional, safety, metadata, file, storage"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,data.files[].file_name,str,EAGLE_PASS_PROJECT_01092025replaced.edm.xml,,Original filename of the uploaded file,,"anti-collision, directional, safety, metadata, file"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,data.files[].export_level,str,Site,,"Export/scope level (Site, Well, etc.)",,"anti-collision, directional, safety, metadata, scope"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,data.files[].latest_updated_at,int,1736446771,,Timestamp for latest updated,,"anti-collision, directional, safety, metadata, time"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,data.api_number,int,4246140000,,API well number (unique well identifier),,"anti-collision, directional, safety, well-info, identifier, regulatory"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,data.latitude_deg,float,31.49086178639833,,Well latitude in decimal degrees,,"anti-collision, directional, safety, well-info, coordinate, location"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,data.longitude_deg,float,-102.0658076204951,,Well longitude in decimal degrees,,"anti-collision, directional, safety, well-info, coordinate, location"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,data.well_common_name,str,EAGLE PASS B6 5913BH,,Common/display name of the well,,"anti-collision, directional, safety, well-info, identifier, display"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,version,int,1,,Schema version number for this record,,"anti-collision, directional, safety, metadata, internal, versioning"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,provider,str,corva,,"Data provider name (typically ""corva"")",,"anti-collision, directional, safety, metadata, internal"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,timestamp,int,1737755450,,Unix epoch timestamp (seconds) of the record,,"anti-collision, directional, safety, metadata, time-index, filter-key, required"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,collection,str,anti-collision.metadata-well,,MongoDB collection name this record belongs to,,"anti-collision, directional, safety, metadata, internal"
corva#anti-collision.metadata-well,anti-collision.metadata-well,Anti-Collision,reference,/api/v1/data/corva/anti-collision.metadata-well/,company_id,int,80,,Unique identifier for the company/operator,,"anti-collision, directional, safety, metadata, company, filter-key"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,kpi_name,str,test,,Name/label for kpi,,"ai, askcorva, metadata, display, label"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline,array[dict],,,Array of pipeline records,,"ai, askcorva, container, array"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match,object,,,Nested object containing $match data,,"ai, askcorva, container, object"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match.$expr,object,,,Nested object containing $expr data,,"ai, askcorva, container, object"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match.$expr.$and,array[dict],,,Array of $and records,,"ai, askcorva, container, array"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match.$expr.$and[].$ne,array[dict],,,Array of $ne records,,"ai, askcorva, container, array"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match.$expr.$and[].$ne[].$toString,str,$data.value,,$tostring,,"ai, askcorva"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match.data.key,str,rop,,Key,,"ai, askcorva"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match.data.type,str,hour,,Type classifier for this record,,"ai, askcorva, metadata, classification"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match.data.year,int,2024,,Year,,"ai, askcorva"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match.data.value,object,,,Nested object containing value data,,"ai, askcorva, container, object"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match.data.value.$ne,str,null,,$ne,,"ai, askcorva"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match.data.value.$type,str,number,,$type,,"ai, askcorva"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,pipeline[].$match.data.value.$exists,str,true,,$exists,,"ai, askcorva"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,company_id,int,3,,Unique identifier for the company/operator,,"ai, askcorva, metadata, company, filter-key"
corva#askcorva.settings,askcorva.settings,AskCorva / AI,reference,/api/v1/data/corva/askcorva.settings/,kpi_segment,str,Drilling,,Kpi segment,,"ai, askcorva"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,_id,str,5f75f378bb0c099b4c3f4ea1,,MongoDB document unique identifier,,"other, metadata, internal, primary-key"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,rig,object,,,Nested object containing rig data,,"other, container, object"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,rig.id,int,43,,Numeric identifier for this record/run,,"other, metadata, identifier"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,rig.name,str,Rig #6,,Display name of the component or record,,"other, metadata, display"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,name,str,Deepwater A Well,,Display name of the component or record,,"other, metadata, display"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,type,str,Asset::Well,,Type classifier for this record,,"other, metadata, classification"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,basin,str,Deep Water,,Basin,,other
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,stats,object,,,Nested object containing stats data,,"other, container, object"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,stats.total_time,int,6220800,,Timestamp for total,,"other, metadata, time"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,stats.total_depth,int,30360,,Total depth of the well,,"other, depth, well-info"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,county,null,,,County,,other
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,status,str,complete,,Current status of the record/check,,"other, metadata, status"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,program,object,,,Nested object containing program data,,"other, container, object"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,program.id,int,38,,Numeric identifier for this record/run,,"other, metadata, identifier"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,program.name,str,PROGRAM 2,,Display name of the component or record,,"other, metadata, display"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,asset_id,int,31659357,,Unique identifier for the well/asset this record belongs to,,"other, metadata, well-id, filter-key, required"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,timezone,str,America/Chicago,,Timezone,,other
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,top_hole,object,,,Nested object containing top hole data,,"other, container, object"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,top_hole.raw,str,"25.3043° N, 90.0659° W",,Raw,,other
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,top_hole.coordinates,array[float],,,Array of coordinates records,,"other, container, array"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,api_number,str,60-812-40125,,API well number (unique well identifier),,"other, well-info, identifier, regulatory"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,company_id,int,5,,Unique identifier for the company/operator,,"other, metadata, company, filter-key"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,created_at,str,2020-10-01T15:19:19.955000,,Timestamp for created,,"other, metadata, time"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,bottom_hole,dict,{},,Bottom hole,,other
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,mud_company,str,,,Mud company,,other
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,string_design,str,4,,String design,,other
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,last_active_at,str,2019-03-20T06:50:45,,Timestamp for last active,,"other, metadata, time"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,contractor_name,str,Nomac,,Name/label for contractor,,"other, metadata, display, label"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,target_formation,str,Wilcox,,Target formation,,other
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,custom_properties,object,,,Nested object containing custom properties data,,"other, container, object"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,custom_properties.rig_type,str,floating,,Type classification for rig,,"other, metadata, classification"
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,custom_properties.off_bottom_tolerance,str,1.0,,Off bottom tolerance,,other
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,directional_driller,str,Baker Hughes,,Directional driller,,other
corva#assets,assets,Other,time,/api/v1/data/corva/assets/,day_shift_start_time,str,06:00,,Timestamp for day shift start,,"other, metadata, time"
