bit_manufacturer,bit_model,bit_diameters,parsed_blades,parsed_cutter_mm,parse_confidence,parse_method,total_runs,sources
Halliburton,GTi54HEs,6.75,5,?(4),check,"fallback-2dig:GTi54HEs->B5,C4",16,full_bit_scan
Schlumberger,BV616M,12.25; 14.75; 16.5; 8.5,6,16,check,"fallback-3dig:BV616M->B6,16mm",16,full_bit_scan
Schlumberger,FT513,6.125,5,13,check,"fallback-3dig:FT513->B5,13mm",16,full_bit_scan
Schlumberger,NT516,8.5; 8.75,5,16,check,"fallback-3dig:NT516->B5,16mm",16,full_bit_scan
Schlumberger,X616,16; 17.5; 8.75; 9.875,6,16,check,"fallback-3dig:X616->B6,16mm",16,full_bit_scan
Sicotte,SS619G,9.88189,6,19,check,"fallback-3dig:SS619G->B6,19mm",16,full_bit_scan
Halliburton,GTi66DMKFs,12.25,6,?(6),check,"fallback-2dig:GTi66DMKFs->B6,C6",15,full_bit_scan
Schlumberger,MDI616MHBPX,12.25,6,16,check,"fallback-3dig:MDI616MHBPX->B6,16mm",15,full_bit_scan
Schlumberger,XS613,6.75; 8.75; 9.875,6,13,check,"fallback-3dig:XS613->B6,13mm",15,full_bit_scan
Schlumberger,Y519,12.244095; 6; 8.5; 9.625,5,19,check,"fallback-3dig:Y519->B5,19mm",15,full_bit_scan
Taurex,TDs611,6.75; 8.5,6,11,check,"fallback-3dig:TDs611->B6,11mm",15,full_bit_scan
Ulterra,XP 616,12.25; 13.5; 8.5; 8.75; 9.875,6,16,check,"fallback-3dig:XP 616->B6,16mm",15,full_bit_scan
Baker Hughes,D606,13.5,6,?(6),check,Baker:D606->C60B6(frac),14,full_bit_scan
Baker Hughes,K5M633,12.25,6,?(3),check,"fallback-2dig:K5M633->B6,C3",14,full_bit_scan
Baker Hughes,KTX636T,17.5,6,?(3),check,"fallback-2dig:KTX636T->B6,C3",14,full_bit_scan
Baker Hughes,STX-30,6.75,3,?(0),check,"fallback-2dig:STX-30->B3,C0",14,full_bit_scan
Diamant,SPD613,6.75; 8.5,6,13,check,"fallback-3dig:SPD613->B6,13mm",14,full_bit_scan
Halliburton,GT65MKO,10.625; 14.5,6,?(5),check,"fallback-2dig:GT65MKO->B6,C5",14,full_bit_scan
Halliburton,GTE85DHS,17.5,8,?(5),check,"fallback-2dig:GTE85DHS->B8,C5",14,full_bit_scan
Ulterra,SPL625,12.244095; 12.25,6,?(2),check,"fallback-2dig:SPL625->B6,C2",14,full_bit_scan
Halliburton,GTi55Ks,6.125,5,?(5),check,"fallback-2dig:GTi55Ks->B5,C5",13,full_bit_scan
Halliburton,GTi66DMKs,12.25,6,?(6),check,"fallback-2dig:GTi66DMKs->B6,C6",13,full_bit_scan
NOV,DSC616M,8.75,6,16,check,"fallback-3dig:DSC616M->B6,16mm",13,full_bit_scan
NOV,TK69-G3,12.244095; 9.88189,6,?(9),check,"NOV-TK:TK69-G3->B6,C9",13,full_bit_scan
Schlumberger,BVT613S,6.259843; 8.740158,6,13,check,"fallback-3dig:BVT613S->B6,13mm",13,full_bit_scan
Smith,MDSI616MHBPX,12.25,6,16,check,"fallback-3dig:MDSI616MHBPX->B6,16mm",13,full_bit_scan
Varel,Havox 613,6.125; 8.75,6,13,check,"fallback-3dig:Havox 613->B6,13mm",13,full_bit_scan
Baker Hughes,D604S,8.75,4,?(6),check,Baker:D604S->C60B4(frac),12,full_bit_scan
Baker Hughes,K6M525E,8.5; 8.75,5,?(2),check,"fallback-2dig:K6M525E->B5,C2",12,full_bit_scan
Halliburton,GT56MHS,17.5,5,?(6),check,"fallback-2dig:GT56MHS->B5,C6",12,full_bit_scan
Halliburton,GT56RMOs,16,5,?(6),check,"fallback-2dig:GT56RMOs->B5,C6",12,full_bit_scan
Halliburton,GT65S,13.5; 16; 16.000001; 17.5,6,?(5),check,"fallback-2dig:GT65S->B6,C5",12,full_bit_scan
Halliburton,MM64,6,6,?(4),check,"fallback-2dig:MM64->B6,C4",12,full_bit_scan
NOV,TKE63-U1,6.141732,6,?(3),check,"fallback-2dig:TKE63-U1->B6,C3",12,full_bit_scan
Schlumberger,BXF416M,6.125,4,16,check,"fallback-3dig:BXF416M->B4,16mm",12,full_bit_scan
Schlumberger,MDSi616,12.25; 7.875; 8.5,6,16,check,"fallback-3dig:MDSi616->B6,16mm",12,full_bit_scan
Baker Hughes,Kymera K6M425,8.5,4,?(2),check,"fallback-2dig:Kymera K6M425->B4,C2",11,full_bit_scan
Halliburton,GT65DO,11; 8.5,6,?(5),check,"fallback-2dig:GT65DO->B6,C5",11,full_bit_scan
Halliburton,GTE56MS,12.25,5,?(6),check,"fallback-2dig:GTE56MS->B5,C6",11,full_bit_scan
Schlumberger,BF516,17.5; 6.75; 8.5,5,16,check,"fallback-3dig:BF516->B5,16mm",11,full_bit_scan
Schlumberger,BF716M,8.5,7,16,check,"fallback-3dig:BF716M->B7,16mm",11,full_bit_scan
Schlumberger,BVT613,6.259843; 6.732284,6,13,check,"fallback-3dig:BVT613->B6,13mm",11,full_bit_scan
Ulterra,MAV516,6; 6.75,5,16,check,"fallback-3dig:MAV516->B5,16mm",11,full_bit_scan
Baker Hughes,K5M425,8.75,4,?(2),check,"fallback-2dig:K5M425->B4,C2",10,full_bit_scan
Baker Hughes,KMX624,12.25; 7.875,6,?(2),check,"fallback-2dig:KMX624->B6,C2",10,full_bit_scan
Drilformance,DF519,10.984252; 12.244095; 9.88; 9.88189,5,19,check,"fallback-3dig:DF519->B5,19mm",10,full_bit_scan
Halliburton,GTE65RO,8.5,6,?(5),check,"fallback-2dig:GTE65RO->B6,C5",10,full_bit_scan
Halliburton,GTE85DHOS,17.500001,8,?(5),check,"fallback-2dig:GTE85DHOS->B8,C5",10,full_bit_scan
Halliburton,GTi65DO,8.5,6,?(5),check,"fallback-2dig:GTi65DO->B6,C5",10,full_bit_scan
Halliburton,GTi65MHS,12.25,6,?(5),check,"fallback-2dig:GTi65MHS->B6,C5",10,full_bit_scan
Halliburton,GTi66DMKS,12.25,6,?(6),check,"fallback-2dig:GTi66DMKS->B6,C6",10,full_bit_scan
Halliburton,GTi85MKF,12.25,8,?(5),check,"fallback-2dig:GTi85MKF->B8,C5",10,full_bit_scan
NOV,TKF 76 N4,8.75,7,?(6),check,"fallback-2dig:TKF 76 N4->B7,C6",10,full_bit_scan
Schlumberger,BV716M,18.125,7,16,check,"fallback-3dig:BV716M->B7,16mm",10,full_bit_scan
Schlumberger,BX616,8.5; 8.75,6,16,check,"fallback-3dig:BX616->B6,16mm",10,full_bit_scan
Schlumberger,BXZ 516,8.75,5,16,check,"fallback-3dig:BXZ 516->B5,16mm",10,full_bit_scan
Schlumberger,FVT616M,26,6,16,check,"fallback-3dig:FVT616M->B6,16mm",10,full_bit_scan
Schlumberger,MDSi613,6; 6.75,6,13,check,"fallback-3dig:MDSi613->B6,13mm",10,full_bit_scan
Schlumberger,XCD519,12.25,5,19,check,"fallback-3dig:XCD519->B5,19mm",10,full_bit_scan
Taurex,MD30GLM,8.75,3,?(0),check,"fallback-2dig:MD30GLM->B3,C0",10,full_bit_scan
Ulterra,RPS 613,6.259843; 9.625; 9.875,6,13,check,"fallback-3dig:RPS 613->B6,13mm",10,full_bit_scan
Baker Hughes,DD607VSX,14.5,7,?(6),check,Baker:DD607VSX->C60B7(frac),9,full_bit_scan
Baker Hughes,Kymera KMX624,12.25; 17.5,6,?(2),check,"fallback-2dig:Kymera KMX624->B6,C2",9,full_bit_scan
Baker Hughes,VG-30ADX,12.375,3,?(0),check,"fallback-2dig:VG-30ADX->B3,C0",9,full_bit_scan
Drilformance,DF519-6536,10.984252; 11,5,19,check,"fallback-3dig:DF519-6536->B5,19mm",9,full_bit_scan
Drilformance,DF613-6668,6.729921; 6.73; 6.732284; 6.75,6,13,check,"fallback-3dig:DF613-6668->B6,13mm",9,full_bit_scan
Halliburton,GT54MK,6.5,5,?(4),check,"fallback-2dig:GT54MK->B5,C4",9,full_bit_scan
Halliburton,GTE75M,8.5,7,?(5),check,"fallback-2dig:GTE75M->B7,C5",9,full_bit_scan
Halliburton,GTI54HES,6.75,5,?(4),check,"fallback-2dig:GTI54HES->B5,C4",9,full_bit_scan
Halliburton,GTI55DO,6.125,5,?(5),check,"fallback-2dig:GTI55DO->B5,C5",9,full_bit_scan
Halliburton,GTi54HES,6.75,5,?(4),check,"fallback-2dig:GTi54HES->B5,C4",9,full_bit_scan
Halliburton,GTi65MOS,8.464567; 8.5,6,?(5),check,"fallback-2dig:GTi65MOS->B6,C5",9,full_bit_scan
NOV,TK59 B1,13.5,5,?(9),check,"NOV-TK:TK59 B1->B5,C9",9,full_bit_scan
Schlumberger,BF519,9.88189,5,19,check,"fallback-3dig:BF519->B5,19mm",9,full_bit_scan
Schlumberger,BF613M,6.125; 7.25,6,13,check,"fallback-3dig:BF613M->B6,13mm",9,full_bit_scan
Schlumberger,BVT616M,16.5; 6.75; 9.875,6,16,check,"fallback-3dig:BVT616M->B6,16mm",9,full_bit_scan
Schlumberger,BX616SM,12.25; 8.75; 9.875,6,16,check,"fallback-3dig:BX616SM->B6,16mm",9,full_bit_scan
Schlumberger,MDi616,12.25,6,16,check,"fallback-3dig:MDi616->B6,16mm",9,full_bit_scan
Ulterra,CF 611,8.5; 8.75,6,11,check,"fallback-3dig:CF 611->B6,11mm",9,full_bit_scan
Ulterra,SP616,10.625; 8.5; 8.75,6,16,check,"fallback-3dig:SP616->B6,16mm",9,full_bit_scan
Varel,Havox-613,6; 7.875; 8.75,6,13,check,"fallback-3dig:Havox-613->B6,13mm",9,full_bit_scan
Baker Hughes,DD607S,18.125,7,?(6),check,Baker:DD607S->C60B7(frac),8,full_bit_scan
Baker Hughes,T805KS,12.25,5,?(8),check,Baker:T805KS->C80B5(frac),8,full_bit_scan
Baker Hughes,TX36775R,8.5,3,?(6),check,"fallback-2dig:TX36775R->B3,C6",8,full_bit_scan
Halliburton,GT64DMHEO,8.5; 8.75,6,?(4),check,"fallback-2dig:GT64DMHEO->B6,C4",8,full_bit_scan
Halliburton,GT65HS,17.5; 17.500001,6,?(5),check,"fallback-2dig:GT65HS->B6,C5",8,full_bit_scan
Halliburton,GT65Hs,17.5; 17.500001,6,?(5),check,"fallback-2dig:GT65Hs->B6,C5",8,full_bit_scan
Halliburton,GT65Os,8.75,6,?(5),check,"fallback-2dig:GT65Os->B6,C5",8,full_bit_scan
Halliburton,GTI65MOs,8.5,6,?(5),check,"fallback-2dig:GTI65MOs->B6,C5",8,full_bit_scan
Halliburton,HD66WK,9.875,6,?(6),check,"HAL:HD66WK->B6,C6(frac)",8,full_bit_scan
Halliburton,SF65,13.5; 17.5; 17.500001,6,?(5),check,"fallback-2dig:SF65->B6,C5",8,full_bit_scan
NOV,TKE63-R1,7.875,6,?(3),check,"fallback-2dig:TKE63-R1->B6,C3",8,full_bit_scan
NOV,TKE76-W1,8.75,7,?(6),check,"fallback-2dig:TKE76-W1->B7,C6",8,full_bit_scan
Schlumberger,HT613SM,12.25; 8.5,6,?(1),check,"HAL:HT613SM->B6,C1(frac)",8,full_bit_scan
Schlumberger,HT616S,12.25,6,?(1),check,"HAL:HT616S->B6,C1(frac)",8,full_bit_scan
Schlumberger,MDI519,8.5,5,19,check,"fallback-3dig:MDI519->B5,19mm",8,full_bit_scan
Schlumberger,MS616M,8.5,6,16,check,"fallback-3dig:MS616M->B6,16mm",8,full_bit_scan
Schlumberger,SDi519MHBPX,12.25,5,19,check,"fallback-3dig:SDi519MHBPX->B5,19mm",8,full_bit_scan
Ulterra,WAV 616,11; 12.25,6,16,check,"fallback-3dig:WAV 616->B6,16mm",8,full_bit_scan
Baker Hughes,D605T,8.75,5,?(6),check,Baker:D605T->C60B5(frac),7,full_bit_scan
Baker Hughes,K6M625,24; 26,6,?(2),check,"fallback-2dig:K6M625->B6,C2",7,full_bit_scan
Baker Hughes,VGD-38CH,8.75,3,?(8),check,"fallback-2dig:VGD-38CH->B3,C8",7,full_bit_scan
Drilformance,DF613,6.259843; 7.874016; 8.740158; 8.75,6,13,check,"fallback-3dig:DF613->B6,13mm",7,full_bit_scan
Halliburton,FC3845,5.875; 6,3,?(8),check,"fallback-2dig:FC3845->B3,C8",7,full_bit_scan
Halliburton,GT64MK,5.875,6,?(4),check,"fallback-2dig:GT64MK->B6,C4",7,full_bit_scan
Halliburton,GT65DMHEO,8.5,6,?(5),check,"fallback-2dig:GT65DMHEO->B6,C5",7,full_bit_scan
Halliburton,GTE66DHOs,12.25,6,?(6),check,"fallback-2dig:GTE66DHOs->B6,C6",7,full_bit_scan
Halliburton,GTi56WRO,12.25,5,?(6),check,"fallback-2dig:GTi56WRO->B5,C6",7,full_bit_scan
Halliburton,SR30R,6.5; 6.75; 8.5,3,?(0),check,"fallback-2dig:SR30R->B3,C0",7,full_bit_scan
J&L,SDP6616,8.740158,6,?(6),check,"fallback-2dig:SDP6616->B6,C6",7,full_bit_scan
NOV,DSC616M X23,8.75,6,16,check,"fallback-3dig:DSC616M X23->B6,16mm",7,full_bit_scan
NOV,TK 56,8.75,5,?(6),check,"fallback-2dig:TK 56->B5,C6",7,full_bit_scan
NOV,TK69-B8,17.5,6,?(9),check,"NOV-TK:TK69-B8->B6,C9",7,full_bit_scan
NOV,TKE63-T1,8.5,6,?(3),check,"fallback-2dig:TKE63-T1->B6,C3",7,full_bit_scan
Schlumberger,BXZ-516,8.75,5,16,check,"fallback-3dig:BXZ-516->B5,16mm",7,full_bit_scan
Schlumberger,FT616S,8.75,6,16,check,"fallback-3dig:FT616S->B6,16mm",7,full_bit_scan
Schlumberger,HVT613,6.259843; 6.889764,6,?(1),check,"HAL:HVT613->B6,C1(frac)",7,full_bit_scan
Schlumberger,HXT716SM,12.25,7,?(1),check,"HAL:HXT716SM->B7,C1(frac)",7,full_bit_scan
Schlumberger,MDI613,6.75,6,13,check,"fallback-3dig:MDI613->B6,13mm",7,full_bit_scan
Schlumberger,NF616,8.5,6,16,check,"fallback-3dig:NF616->B6,16mm",7,full_bit_scan
Schlumberger,SDi611,6.125; 6.75; 8.5; 8.75,6,11,check,"fallback-3dig:SDi611->B6,11mm",7,full_bit_scan
Schlumberger,VXS516,8.75,5,16,check,"fallback-3dig:VXS516->B5,16mm",7,full_bit_scan
Schlumberger,XRF627AR,12.25,6,?(2),check,"fallback-2dig:XRF627AR->B6,C2",7,full_bit_scan
Shear,3333,14,3,?(3),check,"fallback-2dig:3333->B3,C3",7,full_bit_scan
Ulterra,RPS 616,11; 7.875; 8.5,6,16,check,"fallback-3dig:RPS 616->B6,16mm",7,full_bit_scan
Ulterra,RSP616,12.25,6,16,check,"fallback-3dig:RSP616->B6,16mm",7,full_bit_scan
Ulterra,U61S,12.25; 17.5; 6.75; 7.875; 8.5,6,?(1),check,"fallback-2dig:U61S->B6,C1",7,full_bit_scan
Baker Hughes,D409VX,10.625,4,9,check,"fallback-3dig:D409VX->B4,9mm",6,full_bit_scan
Baker Hughes,DD30WSX,6.75; 7.875; 8.75,3,?(0),check,"fallback-2dig:DD30WSX->B3,C0",6,full_bit_scan
Baker Hughes,T606KX,12.25,6,?(6),check,Baker:T606KX->C60B6(frac),6,full_bit_scan
Drilformance,DF616-6712,12.25,6,16,check,"fallback-3dig:DF616-6712->B6,16mm",6,full_bit_scan
Drilformance,DF619,12.25; 17.5,6,19,check,"fallback-3dig:DF619->B6,19mm",6,full_bit_scan
Halliburton,537G,10.625; 12.25,5,?(3),check,"fallback-2dig:537G->B5,C3",6,full_bit_scan
Halliburton,GT56MKOs,17.5,5,?(6),check,"fallback-2dig:GT56MKOs->B5,C6",6,full_bit_scan
Halliburton,GT56WMOs,16,5,?(6),check,"fallback-2dig:GT56WMOs->B5,C6",6,full_bit_scan
Halliburton,GT74M,6.5,7,?(4),check,"fallback-2dig:GT74M->B7,C4",6,full_bit_scan
Halliburton,GTE66DMKFs,12.25,6,?(6),check,"fallback-2dig:GTE66DMKFs->B6,C6",6,full_bit_scan
Halliburton,GTE85DHOs,17.5; 17.500001,8,?(5),check,"fallback-2dig:GTE85DHOs->B8,C5",6,full_bit_scan
Halliburton,GTi64DMKF,6.124803; 6.125,6,?(4),check,"fallback-2dig:GTi64DMKF->B6,C4",6,full_bit_scan
Halliburton,HD86MFS,26,8,?(6),check,"HAL:HD86MFS->B8,C6(frac)",6,full_bit_scan
N/A,Core 713,6.75,7,13,check,"fallback-3dig:Core 713->B7,13mm",6,full_bit_scan
N/A,MM64,6.125,6,?(4),check,"fallback-2dig:MM64->B6,C4",6,full_bit_scan
NOV,SKC616M,8.5,6,16,check,"fallback-3dig:SKC616M->B6,16mm",6,full_bit_scan
NOV,TKC59,12.25; 16; 7.875; 8.75,5,?(9),check,"NOV-TK:TKC59->B5,C9",6,full_bit_scan
NOV,TKC69,12.25; 17.5,6,?(9),check,"NOV-TK:TKC69->B6,C9",6,full_bit_scan
NOV,TKG66-AQ1,12.25,6,?(6),check,"fallback-2dig:TKG66-AQ1->B6,C6",6,full_bit_scan
Schlumberger,BR613S,6,6,13,check,"fallback-3dig:BR613S->B6,13mm",6,full_bit_scan
Schlumberger,BVT716M,18.125,7,16,check,"fallback-3dig:BVT716M->B7,16mm",6,full_bit_scan
Schlumberger,BVT716MC,14.5; 14.6,7,16,check,"fallback-3dig:BVT716MC->B7,16mm",6,full_bit_scan
Schlumberger,BX516SZ,8.75,5,16,check,"fallback-3dig:BX516SZ->B5,16mm",6,full_bit_scan
Schlumberger,BX616M,17.5; 8.75; 9.875,6,16,check,"fallback-3dig:BX616M->B6,16mm",6,full_bit_scan
Schlumberger,FHI30ODVPS,7.875,3,?(0),check,"HAL:FHI30ODVPS->B3,C0(frac)",6,full_bit_scan
Schlumberger,MDSi716LBPX,10.625; 12.25,7,16,check,"fallback-3dig:MDSi716LBPX->B7,16mm",6,full_bit_scan
Schlumberger,MDi519,8.5; 9.875,5,19,check,"fallback-3dig:MDi519->B5,19mm",6,full_bit_scan
Schlumberger,X616S,16; 17.5; 8.5,6,16,check,"fallback-3dig:X616S->B6,16mm",6,full_bit_scan
Schlumberger,XS716,10.625; 12.25; 8.5,7,16,check,"fallback-3dig:XS716->B7,16mm",6,full_bit_scan
Taurex,TSd617,12.25,6,?(1),check,"fallback-2dig:TSd617->B6,C1",6,full_bit_scan
Ulterra,Cf616,17.5,6,16,check,"fallback-3dig:Cf616->B6,16mm",6,full_bit_scan
Ulterra,XP 713,12.25,7,13,check,"fallback-3dig:XP 713->B7,13mm",6,full_bit_scan
Varel,Evos-513,8.75,5,13,check,"fallback-3dig:Evos-513->B5,13mm",6,full_bit_scan
Baker Hughes,K6M323,6.140158; 6.75,3,?(2),check,"fallback-2dig:K6M323->B3,C2",5,full_bit_scan
Baker Hughes,TX37741R,8.5,3,?(7),check,"fallback-2dig:TX37741R->B3,C7",5,full_bit_scan
Diamant,SRS616,12.25; 13.5,6,16,check,"fallback-3dig:SRS616->B6,16mm",5,full_bit_scan
Halliburton,GT64DI,6.75,6,?(4),check,"fallback-2dig:GT64DI->B6,C4",5,full_bit_scan
Halliburton,GT64DMOs,9.875,6,?(4),check,"fallback-2dig:GT64DMOs->B6,C4",5,full_bit_scan
Halliburton,GT65DMO,11; 12.25; 7.875; 8.5,6,?(5),check,"fallback-2dig:GT65DMO->B6,C5",5,full_bit_scan
Halliburton,GT65MKS,16,6,?(5),check,"fallback-2dig:GT65MKS->B6,C5",5,full_bit_scan
Halliburton,GTD56S,8.5,5,?(6),check,"HAL-GTD:GTD56S->B5,C6(frac)",5,full_bit_scan
Halliburton,GTE66DKOs,12.25,6,?(6),check,"fallback-2dig:GTE66DKOs->B6,C6",5,full_bit_scan
Halliburton,GTE66MFs,17.5,6,?(6),check,"fallback-2dig:GTE66MFs->B6,C6",5,full_bit_scan
Halliburton,GTi56Ks,8.5,5,?(6),check,"fallback-2dig:GTi56Ks->B5,C6",5,full_bit_scan
Halliburton,GTi64 MKHO,6.124803; 6.125,6,?(4),check,"fallback-2dig:GTi64 MKHO->B6,C4",5,full_bit_scan
Halliburton,GTi64DKHF,6.124803; 6.125,6,?(4),check,"fallback-2dig:GTi64DKHF->B6,C4",5,full_bit_scan
Halliburton,GTi65Os,12.25,6,?(5),check,"fallback-2dig:GTi65Os->B6,C5",5,full_bit_scan
Halliburton,GTi85MOs,18.125,8,?(5),check,"fallback-2dig:GTi85MOs->B8,C5",5,full_bit_scan
Halliburton,HXi66DOs,12.25,6,?(6),check,"HAL:HXi66DOs->B6,C6(frac)",5,full_bit_scan
Halliburton,M613SG,6.125,6,13,check,"fallback-3dig:M613SG->B6,13mm",5,full_bit_scan
Halliburton,SFE66DHOs,12.25,6,?(6),check,"fallback-2dig:SFE66DHOs->B6,C6",5,full_bit_scan
N/A,GTD56S,8.5,5,?(6),check,"HAL-GTD:GTD56S->B5,C6(frac)",5,full_bit_scan
N/A,Revolution CXV 616XTE,17.5,6,16,check,"fallback-3dig:Revolution CXV 616XTE->B6,16mm",5,full_bit_scan
N/A,S519GSA2,8.5,5,19,check,"fallback-3dig:S519GSA2->B5,19mm",5,full_bit_scan
N/A,SF56H,12.25,5,?(6),check,"fallback-2dig:SF56H->B5,C6",5,full_bit_scan
NOV,GT56RMOs,12.25,5,?(6),check,"fallback-2dig:GT56RMOs->B5,C6",5,full_bit_scan
NOV,P63-A1,6.75; 8.75,6,?(3),check,"fallback-2dig:P63-A1->B6,C3",5,full_bit_scan
NOV,TKC 66,8.5; 9.875,6,?(6),check,"fallback-2dig:TKC 66->B6,C6",5,full_bit_scan
NOV,TKC 66 AI1,9.875,6,?(6),check,"fallback-2dig:TKC 66 AI1->B6,C6",5,full_bit_scan
NOV,TKC-63 N7,7.875,6,?(3),check,"fallback-2dig:TKC-63 N7->B6,C3",5,full_bit_scan
NOV,TKF-66,12.25; 7.875,6,?(6),check,"fallback-2dig:TKF-66->B6,C6",5,full_bit_scan
Reed,TK69-B15,17.5,6,?(9),check,"NOV-TK:TK69-B15->B6,C9",5,full_bit_scan
Schlumberger,BF613SM,7.875; 8.5; 8.75,6,13,check,"fallback-3dig:BF613SM->B6,13mm",5,full_bit_scan
Schlumberger,BF716,17.500001,7,16,check,"fallback-3dig:BF716->B7,16mm",5,full_bit_scan
Schlumberger,BV613,6.141732; 6.259843,6,13,check,"fallback-3dig:BV613->B6,13mm",5,full_bit_scan
Schlumberger,BV616S,8.5,6,16,check,"fallback-3dig:BV616S->B6,16mm",5,full_bit_scan
Schlumberger,BVX513-2B,6.75,5,13,check,"fallback-3dig:BVX513-2B->B5,13mm",5,full_bit_scan
Schlumberger,BX516S,8.75,5,16,check,"fallback-3dig:BX516S->B5,16mm",5,full_bit_scan
Schlumberger,BXZ 613,6.141732; 8.75,6,13,check,"fallback-3dig:BXZ 613->B6,13mm",5,full_bit_scan
Schlumberger,FH30ODV,8.5; 9.875,3,?(0),check,"HAL:FH30ODV->B3,C0(frac)",5,full_bit_scan
Schlumberger,HX616,8.75,6,?(1),check,"HAL:HX616->B6,C1(frac)",5,full_bit_scan
Schlumberger,HXT616SM,8.5,6,?(1),check,"HAL:HXT616SM->B6,C1(frac)",5,full_bit_scan
Schlumberger,MD616MHBPX,12.25,6,16,check,"fallback-3dig:MD616MHBPX->B6,16mm",5,full_bit_scan
Schlumberger,MDI616 MHBPX,12.25,6,16,check,"fallback-3dig:MDI616 MHBPX->B6,16mm",5,full_bit_scan
Schlumberger,MDSI613,6.125,6,13,check,"fallback-3dig:MDSI613->B6,13mm",5,full_bit_scan
Schlumberger,MM64,6.125,6,?(4),check,"fallback-2dig:MM64->B6,C4",5,full_bit_scan
Schlumberger,SD619,26; 36,6,19,check,"fallback-3dig:SD619->B6,19mm",5,full_bit_scan
Schlumberger,XR32TPS,6.75,3,?(2),check,"fallback-2dig:XR32TPS->B3,C2",5,full_bit_scan
Schlumberger,XS516I,8.5,5,16,check,"fallback-3dig:XS516I->B5,16mm",5,full_bit_scan
Schlumberger,XS713,6.75; 8.75,7,13,check,"fallback-3dig:XS713->B7,13mm",5,full_bit_scan
Shear,SD613D,6.141732; 6.259843,6,13,check,"fallback-3dig:SD613D->B6,13mm",5,full_bit_scan
Taurex,TDx613,7.875,6,13,check,"fallback-3dig:TDx613->B6,13mm",5,full_bit_scan
Varel,HAVOX-513,6; 6.5,5,13,check,"fallback-3dig:HAVOX-513->B5,13mm",5,full_bit_scan
Varel,Havox-616,7.875,6,16,check,"fallback-3dig:Havox-616->B6,16mm",5,full_bit_scan
Varel,S6164,12.25,6,16,check,"fallback-3dig:S6164->B6,16mm",5,full_bit_scan
Varel,VRT613DGX,6.125,6,13,check,"fallback-3dig:VRT613DGX->B6,13mm",5,full_bit_scan
Varel,VTD519SDHUX,17.5,5,19,check,"fallback-3dig:VTD519SDHUX->B5,19mm",5,full_bit_scan
Baker Hughes,BHI308C,6.125,3,?(0),check,"HAL:BHI308C->B3,C0(frac)",4,full_bit_scan
Baker Hughes,D605VT,8.75,5,?(6),check,Baker:D605VT->C60B5(frac),4,full_bit_scan
Baker Hughes,D607VX,12.244095; 12.25,7,?(6),check,Baker:D607VX->C60B7(frac),4,full_bit_scan
Baker Hughes,DD605X,12.25,5,?(6),check,Baker:DD605X->C60B5(frac),4,full_bit_scan
Baker Hughes,K5M633X,16,6,?(3),check,"fallback-2dig:K5M633X->B6,C3",4,full_bit_scan
Baker Hughes,KMX525T,12.25,5,?(2),check,"fallback-2dig:KMX525T->B5,C2",4,full_bit_scan
Baker Hughes,KMX636T,24,6,?(3),check,"fallback-2dig:KMX636T->B6,C3",4,full_bit_scan
Baker Hughes,Kymera KTX636T,17.5,6,?(3),check,"fallback-2dig:Kymera KTX636T->B6,C3",4,full_bit_scan
Baker Hughes,VGD 30,8.75,3,?(0),check,"fallback-2dig:VGD 30->B3,C0",4,full_bit_scan
Drilformance,DF519-6445,9.88189,5,19,check,"fallback-3dig:DF519-6445->B5,19mm",4,full_bit_scan
Drilformance,DF716,8.75,7,16,check,"fallback-3dig:DF716->B7,16mm",4,full_bit_scan
Halliburton,CSi65Fs,16,6,?(5),check,"fallback-2dig:CSi65Fs->B6,C5",4,full_bit_scan
Halliburton,Core Head FC3643H,8.5,3,?(6),check,"fallback-2dig:Core Head FC3643H->B3,C6",4,full_bit_scan
Halliburton,FC3745,6,3,?(7),check,"fallback-2dig:FC3745->B3,C7",4,full_bit_scan
Halliburton,GT55RM,6,5,?(5),check,"fallback-2dig:GT55RM->B5,C5",4,full_bit_scan
Halliburton,GT56MKOS,17.5,5,?(6),check,"fallback-2dig:GT56MKOS->B5,C6",4,full_bit_scan
Halliburton,GT65H,17.5,6,?(5),check,"fallback-2dig:GT65H->B6,C5",4,full_bit_scan
Halliburton,GT65MO,12.25; 8.740158,6,?(5),check,"fallback-2dig:GT65MO->B6,C5",4,full_bit_scan
Halliburton,GT66Os,12.25,6,?(6),check,"fallback-2dig:GT66Os->B6,C6",4,full_bit_scan
Halliburton,GT74MKO,10.625; 12.25,7,?(4),check,"fallback-2dig:GT74MKO->B7,C4",4,full_bit_scan
Halliburton,GT86F,12.25,8,?(6),check,"fallback-2dig:GT86F->B8,C6",4,full_bit_scan
Halliburton,GTD56MHOs,12.25,5,?(6),check,"HAL-GTD:GTD56MHOs->B5,C6(frac)",4,full_bit_scan
Halliburton,GTE65MOs,8.5,6,?(5),check,"fallback-2dig:GTE65MOs->B6,C5",4,full_bit_scan
Halliburton,GTE66MFS,17.5,6,?(6),check,"fallback-2dig:GTE66MFS->B6,C6",4,full_bit_scan
Halliburton,GTI65MHs,12.25; 16,6,?(5),check,"fallback-2dig:GTI65MHs->B6,C5",4,full_bit_scan
Halliburton,GTi65DMF,12.25,6,?(5),check,"fallback-2dig:GTi65DMF->B6,C5",4,full_bit_scan
